id,source,title,url,content,date
1,cnn indonesia,Hari Minggu Ini Gunung Semeru Empat Kali Erupsi,https://www.cnnindonesia.com/nasional/20240512231307-20-1096694/hari-minggu-ini-gunung-semeru-empat-kali-erupsi,"Pada Minggu (12/5), berdasarkan data PVMBG, Gunung Semeru terjadi erupsi setidaknya selama empat kali selama satu hari ini. Gunung api tertinggi di Pulau Jawa itu saat ini statusnya adalah level III (Siaga). Erupsi terakhir Gunung Semeru yang terjadi pada Minggu ini adalah pukul 20.07 WIB.  ""Tinggi kolom abu teramati ± 500 m di atas puncak. Erupsi terekam di seismograf dengan amplitudo maksimum 23 mm dan durasi 102 detik,"" demikian dikutip dari akun X milik PVMBG, Minggu malam. [Gambas:Twitter] Sebelumnya, Erupsi gunung yang memiliki kawah dengan julukan Jonggring Seloko itu terjadi pada Minggu pagi. Setidaknya tiga kali erupsi Semeru terjadi pada Minggu pagi tadi. Pertama adalah pada pukul 08.30 WIB, di mana erupsi terekam di seismograf dengan amplitudo maksimum 22 mm dan durasi 125 detik. Kemudian yang kedua pada pukul 09.03 WIB, di mana erupsi terekam di seismograf dengan amplitudo maksimum 21 mm dan durasi 1 detik. Ketiga adalah, ""Erupsi Gunung Semeru pada hari Minggu, 12 Mei 2024, pukul 09:26 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 22 mm dan durasi 125 detik."" Sehari sebelumnya, pada Sabtu (11/5), PVMBG mencatat ada dua kali erupsi Semeru yakni pada pukul 07.59 WIB dan 11.36 WIB. Atas kondisi Gunung Semeru saat ini, PVMBG mengeluarkan tiga imbauan. ""Tidak melakukan aktivitas apapun di sektor tenggara di sepanjang Besuk Kobokan, sejauh 13 km dari puncak (pusat erupsi). Di luar jarak tersebut, masyarakat tidak melakukan aktivitas pada jarak 500 meter dari tepi sungai (sempadan sungai) di sepanjang Besuk Kobokan karena berpotensi terlanda perluasan awan panas dan aliran lahar hingga jarak 17 km dari puncak,"" demikian pernyataan PVMBG, pada Sabtu (11/5). ""Tidak beraktivitas dalam radius 5 Km dari kawah/puncak Gunung Api Semeru karena rawan terhadap bahaya lontaran batu (pijar),"" sambungannya. Ketiga, PVMBG pun meminta warga mewaspadai potensi awan panas, guguran lava, dan lahar di sepanjang aliran sungai/lembah yang berhulu di puncak Gunung Api Semeru, terutama sepanjang Besuk Kobokan, Besuk Bang, Besuk Kembar, dan Besuk Sat serta potensi lahar pada sungai-sungai kecil yang merupakan anak sungai dari Besuk Kobokan. "," Minggu, 12 Mei 2024 23:45 WIB "
2,cnn indonesia,Yayasan SMK Depok Belum Bisa Pastikan 3 Bus Rombongan dari Satu PO,https://www.cnnindonesia.com/nasional/20240512220252-20-1096689/yayasan-smk-depok-belum-bisa-pastikan-3-bus-rombongan-dari-satu-po,"Pihak Yayasan Kesejahteraan Sosial (YKS) yang menaungi SMK Lingga Kencana Depok belum dapat memastikan tiga bus yang membawa rombongan siswanya dalam kegiatan perpisahan itu berasal dari Perusahaan Otobus (PO) yang sama. Hal itu terungkap dalam tanya jawab konferensi pers yang digelar Bagian Informasi Yayasan Kesejahteraan Sosial, Dian Nurfarida dengan awak media di SMK Lingga Kencana, Depok, Minggu (12/5). Awak media kembali bertanya apakah benar salah satu bus rombongan itu berasal dari PO yang berbeda dari dua bus lainnya.  ""Ya nanti kami akan koordinasi dengan pihak terkait tentang hal ini [soal asal PO bus-bus yang disewa sekolah tersebut untuk perjalanan siswa],"" sebut dia. ""Nanti kami akan koordinasi dengan pihak kepolisian,"" sambung Dian.  Dian mengakui pihak sekolah memang menggunakan pihak ketiga atau jasa travel dalam proses penyewaan bus yang membawa rombongan siswa dan guru tersebut.  Awak media kembali bertanya alasan sekolah yakin dengan PO bus tersebut apakah karena ada klaim kelayakan yang disampaikan pihak travel. ""Sebenarnya, dari awal kami sudah merasa yakin dengan PO ini. Kalau tidak yakin, kami tidak memberangkatkan bis ini. Kami berusaha untuk memberikan yang terbaik dengan murid-murid kami,"" kata Dian. Dia kemudian mengatakan dalam kegiatan sebelumnya, pihak sekolah tak selalu menyewa bus dari PO yang sama. Tak hanya itu, awak media juga menyinggung status lulus uji berkala dari Bus Trans Putera Fajar bernomor polisi AD 7524 OG yang mengangkut rombongan siswa itu telah kedaluwarsa. ""Eh, awalnya sih kami sudah merasa cukup layak untuk memberangkatkan dengan bis ini gitu. (Pertimbangan cukup layak) ya alhamdulillah yang dua bis baik-baik aja sih,"" kata Dian. Saat ditanyakan soal pertanggungjawaban pihak travel yang mengarahkan menggunakan bus-bus yang dipakai rombongan sekolahnya, Dian mengaku pihaknya masih fokus pada penanganan korban. ""Kami fokus dulu dengan kejadian yang sedang kami lewati ini. Jadi kami belum rencanakan apa-apa, kami fokus dulu sampai ini selesai gitu,"" jelas Dian. Dian mengatakan bus rombongan memang ada yang memiliki plat nomor AD.. Sejak berangkat, Dian mengatakan bus memang tampak berplat AD. Mengenai hal tersebut, dia mengaku pihak sekolah akan berkoordinasi dengan kepolisian. ""Itu yang kami sedang lakukan pengecekan. nanti setelah ini kami koordinasi dengan pihak kepolisian. (Bus) Berangkatnya dari sini,"" ucap Dian. Direktorat Jenderal Perhubungan Darat Kementerian Perhubungan (Kemenhub) menyampaikan dugaan penyebab kecelakaan bus rombongan pelajar SMK Lingga Kencana. Kecelakaan bus tersebut diduga terjadi karena masalah rem pada bus tersebut. ""Kecelakaan tersebut diduga karena rem blong pada bus,"" jelas Kepala Bagian Hukum dan Humas Direktorat Jenderal Perhubungan Darat Kemenhub Aznal dalam keterangan di Jakarta, Sabtu malam, dikutip dari Antara. Aznal menjelaskan bus yang mengalami kecelakaan tersebut tidak memiliki izin angkutan. ""Adapun pada aplikasi Mitra Darat, bus tersebut tercatat tidak memiliki izin angkutan,"" terang Aznal dalam keterangan di Jakarta, Sabtu (11/5) malam. Menurut Aznal, hasil pengecekan pada aplikasi Mitra Darat, status lulus uji berkala dari Bus Trans Putera Fajar bernomor polisi AD 7524 OG yang mengangkut rombongan siswa SMK Lingga Kencana, Depok, Jawa Barat tersebut, telah kedaluwarsa. ""Dan status lulus uji berkala telah kadaluwarsa sejak 6 Desember 2023,"" kata Aznal.  Kecelakaan bus rombongan SMK Lingga Kencana terjadi di Jalan Raya Kampung Palasari, Kecamatan Ciater, Kabupaten Subang, Jawa Barat pada Sabtu (11/5) malam. Para korban tewas ialah 9 orang siswa SMK Lingga Kencana, Depok, Jawa Barat, 1 orang guru dan 1 orang warga sekitar kejadian. Kepala Dinas Kesehatan Subang Maxi menyampaikan total korban, termasuk yang luka, dalam kejadian itu adalah 60 orang. Sementara itu, pihak kepolisian dari Direktorat Lalu Lintas (Ditlantas) Polda Jawa Barat dan Satuan Lalu Lintas (Satlantas) Polres Subang melakukan olah tempat kejadian perkara (TKP) di lokasi kecelakaan, Minggu (12/5) pagi. "," Minggu, 12 Mei 2024 22:44 WIB "
3,cnn indonesia,Pengakuan Sopir Bus soal Kondisi Rem Sebelum Kecelakaan di Subang,https://www.cnnindonesia.com/nasional/20240512213355-20-1096686/pengakuan-sopir-bus-soal-kondisi-rem-sebelum-kecelakaan-di-subang,"Kondisi Sadira, sopir bus rombongan pelajar SMK Lingga Kencana Depok yang mengalami kecelakaan maut di Ciater, Subang, Jawa Barat, kini sudah dalam kondisi stabil. Meskipun demikian, dia masih menjalani perawatan di RSUD Subang. Di tengah perawatan tersebut, Sadira menceritakan mengenai kondisi rem sebelum kecelakaan yang menewaskan 11 orang--mayoritas pelajar SMK tersebut. Mengutip dari tayangan CNNIndonesia TV, Sadira menceritakan momen rem bus yang dikendarainya ternyata blong saat di jalan menurun kawasan Ciater tersebut.  ""Terus ngeremkan, nah rem, pas perseneling mau saya masukin itu, enggak bisa masuk. Enggak tahunya angin [rem] benar-benar habis. Setelah saat itulah saya kelabakan untuk [cari jalur] penyelamat, jalur alternatif tidak ada. Akhirnya saya inisiatif lah [banting kanan], bagaimana kalau diterusin otomatis banyak mobil yang habis. Akhirnya saya buanglah ke kanan,"" katanya yang masih terbaring di RSUD Subang.  Sementara itu, Sadira mengatakan sebelum kecelakaan dia sempat merasa ada kondisi bermasalah pada rem bus tersebut. Oleh karena itu, dia sempat meminta mekanik untuk memperbaikinya saat beristirahat di rumah makan. Setelah mekanik atau montir yang mengatakan kondisi kendaraannya sudah bagus kembali, dia pun berani melanjutkan perjalanan rombongan SMK yang baru dari Bandung itu kembali ke Depok. ""Ya pada saat itu saya sudah, dari atas juga sudah disetel rem, gitu,"" kata Sadira mengutip dari detikJabar, Minggu. ""Sudah diperbaiki, sudah semua. Saya sampai panggil montir ya kan, udah dicek, kata montir aman, ya saya lanjutkan,"" imbuhnya. Lebih lanjut, Sadira mengaku telah memiliki rencana lain jika kondisi kendaraan memburuk. Dia mengatakan akan memindahkan penumpang ke kendaraan lain. ""Rencana saya kan kalau emang ini lebih parah, saya akan oper penumpang [ke bus lain],"" kata Sadira.   Kecelakaan maut bus rombongan SMK Depok ini terjadi pada Sabtu (11/5) malam lalu kemarin sekitar pukul 18.45 WIB di jalanan yang menurun, Ciater, Subang. Peristiwa itu melibatkan lima kendaraan, yaitu bus Trans Putera Fajar bernomor polisi AD-7524-OG, mobil Daihatsu Feroza di lajur Subang arah Bandung, serta 3 motor. Sebanyak 11 orang menjadi korban jiwa dalam insiden ini. Korban tewas adalah 9 pelajar SMK Lingga Kencana Depok, 1 Guru SMK Lingga Kencana Depok, dan seorang pengendara motor yang merupakan warga Subang.  Polisi masih menyelidiki penyebab kecelakaan maut bus terguling yang menewaskan 11 orang di jalur wisata Ciater, Subang, Jawa Barat. Sopir bus juga hingga kini belum bisa dimintai keterangan. Kakorlantas Polri Irjen Pol Aan Suhanan saat meninjau lokasi kecelakaan pada Minggu siang mengaku polisi belum bisa memeriksa sopir karena kondisinya yang belum stabil dan masih dirawat di RSUD. ""Supir kondisinya masih belum stabil ya, tadi kita lihat di sana (RSUD) belum stabil sehingga kita belum bisa diambil keterangan secara menurut baru investigasi saja, interogasi saja, jadi secara verbal ini belum diminta keterangan,"" kata Aan usai meninjau lokasi kecelakaan, Minggu (12/5/2024). Lebih lanjut, Aan mengungkapkan polisi masih harus menunggu hasil penyelidikan untuk menentukan kemungkinan ditetapkannya tersangka dalam peristiwa ini. Selain sopir, perusahaan bus juga berpotensi menjadi tersangka jika terbukti ada kelalaian. ""Apabila hasil penyelidikan mengarah ke tersangka lain, seperti contoh pengusaha, itu kita juga akan terapkan pasal terkait pengusaha yang mungkin ada kelalaian dan sebagainya, bisa dijadikan tersangka, ini sangat memungkinkan,"" ujar Aan. ""Jadi tidak hanya mungkin pengemudi, bisa saja tersangka kalau hasil penyelidikannya mengarah ke adanya kelalaian daripada pengusaha kendaraan tersebut,"" katanya.  "," Minggu, 12 Mei 2024 21:59 WIB "
4,cnn indonesia,"Viral Video Truk Anggota TNI Masuk Jalur CFD, Kodam Jaya Buka Suara",https://www.cnnindonesia.com/nasional/20240512203117-20-1096666/viral-video-truk-anggota-tni-masuk-jalur-cfd-kodam-jaya-buka-suara,"Kodam Jaya buka suara soal video viral yang memperlihatkan dua truk membawa anggota TNI, masuk ke jalur car free day (CFD) di Jalan MH Thamrin, Jakarta Pusat. Dalam unggahan akun Instagram @Koalisipejalankaki, terlihat dua unit truk membawa sejumlah personel melintas di jalur CFD. Dua truk itu melintas dari bundaran Patung Kuda mengarah ke Jalan MH Thamrin.  Dalam video, terlihat seorang petugas mencoba mengarahkan truk pertama agar tidak melintas, tetapi truk melaju melalui jalur tersebut.  Saat dikonfirmasi, Kapendam Jaya Kolonel Inf Deki Rayu Syah Putra mengatakan peristiwa truk Yonif 203/AK yang melintasi di jalur CFD itu terjadi pada pukul 05.40 WIB, sehingga belum mengganggu aktivitas CFD. ""Hal tersebut terjadi pada pukul 05.40 karena ada kegiatan olahraga bersama di Bundaran HI dan dalam rangka Pengamanan jalur CFD. Sehingga terkait CFD berlaku pukul 06.00 WIB masih belum terganggu dengan kegiatan masyarakat yang melaksanakan olahraga di jalur CFD,"" kata Deki. Meski demikian, ia menyampaikan permohonan maaf jika ada masyarakat yang terganggu dengan kejadian tersebut. Saya menyampaikan terima kasih kepada masyarakat yang sudah memberikan sarannya kepada kami dan mohon maaf apabila hal tersebut mengganggu kenyamanan pengguna CFD,"" katanya.  [Gambas:Instagram] "," Minggu, 12 Mei 2024 20:50 WIB "
5,cnn indonesia,Komitmen Denpasar Jadi Kota Layak Anak,https://www.cnnindonesia.com/nasional/20240511203529-25-1096413/komitmen-denpasar-jadi-kota-layak-anak,"Kota Denpasar, Bali berkomitmen menjadi kota ramah perempuan dan layak anak. Kota ini juga sukses mendulang penghargaan tingkat nasional. Denpasar meraih penghargaan Daerah Ramah Perempuan dan Layak Anak Tahun 2022. Wali Kota Denpasar, I Gusti Ngurah Jaya Negara mengatakan capaian Indeks Pembangunan Manusia (IPM) Kota Denpasar tahun 2022 ini mencapai 84,37.  Jaya Negara menyebut Capaian Indeks Pembangunan Gender (IPG) Tahun 2021 mencapai 96,88. Kemudian Capaian Indeks Pemberdayaan Gender (IDG) tahun 2021 Kota Denpasar mencapai 67,02. Selain itu capaian Indeks Perlindungan Anak (IPA) tahun 2021 yakni 70,16, Capaian PPPA daerah berdasarkan evaluasi APE tahun 2021 Denpasar berada di katagori utama,. Lalu Capaian KLA tahun 2021 yakni Utama yang telah diraih Kota Denpasar. ""Denpasar telah mampu memenuhi kriteria indeks yang ditetapkan Kementerian PPPA dan pada tahun ini di berikan penghargaan bersama dengan Provinsi Daerah Istimewa Yogyakarta, Kota Surabaya, dan Kabupaten Sleman,"" kata Jaya Negara. Menurut Jaya Negara, sebelumnya Kota Denpasar juga meraih penghargaan Kota Layak Anak dan kembali meraih predikat Utama, serta meraih penghargaan Pengarusutamaan Gender dengan kategori Utama. ""Ini dapat menjadi cambuk semangat meningkatkan program kedepan serta strategi mendukung perlindungan perempuan dan anak, sesuai dengan tagline perempuan berdaya, anak terlindungi, Indonesia Maju,"" ujarnya.  Kota Denpasar salah satu daerah yang dinominasikan dalam CNN Indonesia Awards. ajang penghargaan kedua yang digelar CNN Indonesia ini akan berlangsung pada 13 Mei 2024 di Bali. Denpasar adalah ibu kota dan sekaligus menjadi pusat pemerintahan dan perekonomian Provinsi Bali. Denpasar juga telah dicanangkan sebagai kota metropolitan baru. Luas wilayah Kota Denpasar 127,78km atau 2,18 persen dari luas wilayahBali.Kota Denpasarterdiri dari 4 kecamaan, 16 kelurahan, dan 27 desa. Pada tahun 2022, jumlah penduduknya mencapai 656.405 jiwa. Denpasar juga menjadi magnet wisatawan datang ke Bali. Banyak destinasi mulai dari wisata sejarah yang mengedukasi, destinasi unggulan yang jempolan, sampai aneka kuliner daerah yang bikin ketagihan. Kota Denpasar kini dipimpin oleh wali kota I.G.N. Jaya Negara dan wakil wali kota I Kadek Agus Arya Wibaya. "," Minggu, 12 Mei 2024 20:48 WIB "
6,cnn indonesia,"Banjir Bandang, Ratusan Kendaraan Antre 3 Km di Jalan Trans Sulawesi",https://www.cnnindonesia.com/nasional/20240512194358-20-1096664/banjir-bandang-ratusan-kendaraan-antre-3-km-di-jalan-trans-sulawesi,"Ratusan kendaraan masih mengantre di jalan Trans Sulawesi yang menghubungkan Provinsi Sulawesi Tengah, Gorontalo dan Sulawesi Utara, akibat banjir bandang luapan Sungai Lalindu yang melanda Kabupaten Konawe Utara, Provinsi Sulawesi Tenggara (Sultra). Kepala Badan Penanggulangan Bencana Daerah (BPBD) Konawe Utara (Konut), Sulawesi Tenggara (Sultra), Muh Aidin, mengatakan akses jalan di daerah tersebut hingga Minggu (12/5) malam masih belum normal. Hal itu menyebabkan antrean kendaraan lebih tiga kilometer masih terjadi. ""Akses jalan di Desa Sambandete sejak tanggal 3-12 Mei 2024 belum dapat dilalui,"" katanya mengutip Antara.  Aidin menjelaskan BPBD akan terus memantau jalan Trans Sulawesi itu selama 24 jam hingga jalan tersebut kembali normal dilalui tanpa mengandalkan jasa rakit milik warga.  Sementara itu, Ilmin salah satu sopir yang selalu menggunakan akses jalan Trans Sulawesi menuju Morowali Sulawesi Tengah mengaku sudah 3 hari mengantre namun belum mendapat giliran menggunakan jasa rakit milik masyarakat sekitar. ""Saya akan tetap mengantre sampai dapat giliran menyeberangi banjir, namun saya tidak kesepian karena banyak sopir lain yang juga mengantre untuk mendapatkan giliran,"" katanya. Ilman berharap, banjir bandang luapan Sungai Lalindu yang menutup akses jalan Trans Sulawesi segera surut sehingga akses jalannya kembali normal. "," Minggu, 12 Mei 2024 20:10 WIB "
7,cnn indonesia,"Viral Live TikTok Diduga saat Kecelakaan Bus Subang, Polisi Buka Suara",https://www.cnnindonesia.com/nasional/20240512193136-20-1096663/viral-live-tiktok-diduga-saat-kecelakaan-bus-subang-polisi-buka-suara,"Sebuah video TikTok viral diduga merekam kondisi dalam bus detik-detik menjelang dan saat kecelakaan bus di Subang yang ditumpangi siswa SMK Lingga Kencana, Depok, Jawa Barat. Video itu merekam seorang remaja pria diduga salah satu penumpang bus Trans Putera Fajar AD-7524-OG yang mengalami kecelakaan maut. Bus tersebut dikemudikan SAD. Remaja pria itu tengah melakukan siaran langsung di TikTok, diduga beberapa detik sebelum kecelakaan di Ciater, Kabupaten Subang.  Dalam rekaman itu, awalnya remaja pria itu seperti sedang berbicara. Namun, selang beberapa detik terdengar teriakan di dalam bus yang terekam video. ""Allahu Akbar,"" seperti yang dilihat dalam video, pada Minggu (12/5).  Setelah teriakan takbir, video sempat terjeda. Kemudian video kembali merekam, namun tak jelas gambar rekamannya. Remaja perekam itu tiba-tiba muncul dan kembali merekam kejadian yang menimpanya bersama teman-temannya. Dia juga memberitahu kendaraan yang ia tumpangi mengalami kecelakaan. ""Gua kecelakaan. Remnya blong,"" ujar remaja dalam video tersebut. Polda Jawa Barat belum bisa memastikan kebenaran video tersebut. Polisi masih melakukan penyelidikan untuk memastikan kebenaran video tersebut. ""Bisa saja memang yang bersangkutan mengalami kejadian kecelakaan tersebut. Hal ini juga menjadi informasi yang akan kita lakukan pendalaman,"" ungkap Kabid Humas Polda Jabar Kombes Pol Jules Abraham Abast. Kabid Humas menuturkan saat ini polisi dan pihak terkait lainnya, tengah fokus terhadap serangkaian penyelidikan kecelakaan bus yang menewaskan 11 orang tersebut. Untuk penyebab kecelakaan pun, polisi belum memastikan penyebab pasti bus yang membawa rombongan pelajar tersebut terguling. ""Setelah kami mendapatkan hasil olah TKP dengan metode TAA, maka kami akan dapat menarik kesimpulan terkait penyebab kecelakaan,"" katanya.  "," Minggu, 12 Mei 2024 19:57 WIB "
8,cnn indonesia,Gerindra Bantah Rencana Pertemuan Prabowo-Megawati Mandek,https://www.cnnindonesia.com/nasional/20240512181041-32-1096646/gerindra-bantah-rencana-pertemuan-prabowo-megawati-mandek,"Sekretaris Jenderal Partai Gerindra Ahmad Muzani membantah rencana mempertemukan Prabowo Subianto dan Ketua Umum PDIP Megawati Soekarnoputri mengalami kemandekan. ""Enggak ada yang mandek,"" kata Muzani di Kompleks Parlemen, Jakarta, Minggu (12/5). Namun, Muzani mengakui kemandekan bisa saja terjadi. Hal itu dikarenakan kesibukan dari keduanya.  ""Kalaupun mandek, itu karena kesibukan masing-masing dari pemimpin di PDIP dan kami,"" ujarnya. Muzani juga memastikan hubungan Prabowo dengan Megawati hingga saat ini masih baik. Bahkan, dirinya mengklaim memiliki hubungan baik juga dengan Sekjen PDIP Hasto Kristiyanto.  ""Saya hubungannya dengan Sekjen PDIP juga cukup lancar,"" ucap dia. Sebelumnya, Muzani mengatakan Presiden Joko Widodo (Jokowi) turut mendorong presiden terpilih Prabowo Subianto untuk bertemu Ketua Umum PDIP Megawati Soekarnoputri. Hal ini dinyatakan Muzani menjawab peran Jokowi di balik wacana pertemuan Prabowo-Mega. ""Pak Jokowi justru mendorong dan mengingatkan,"" kata Muzani, di Kemayoran, Jakarta, Sabtu (4/5) seperti dilansir dari Detikcom. Prabowo telah disahkan KPU sebagai presiden terpilih. Ia akan resmi dilantik pada 20 Oktober 2024 mendatang bersama Gibran sebagai wakil presiden. Tak lama setelah penetapan presiden terpilih, sejumlah parpol yang semula bersaing dengan Prabowo di Pilpres kini merapat. NasDem sudah menyatakan bakal masuk koalisi. PKS dan PKB disebut bakal menyusul. Tinggal PDIP yang belum ada sinyal bakal bergabung. Partai banteng bahkan disebut bakal jadi oposisi di pemerintahan mendatang. Meski begitu, wacana pertemuan Prabowo dengan Ketum PDIP Megawati Soekarnoputri terus mengemuka. "," Minggu, 12 Mei 2024 19:43 WIB "
9,cnn indonesia,Yayasan SMK Klaim Acara ke Subang Kesepakatan Orang Tua Siswa-Guru,https://www.cnnindonesia.com/nasional/20240512185802-20-1096658/yayasan-smk-klaim-acara-ke-subang-kesepakatan-orang-tua-siswa-guru,"Yayasan Kesejahteraan Sosial (YKS) yang menaungi SMK Lingga Kencana Depok mengklaim kegiatan perpisahan ke Ciater Subang yang diikuti rombongan siswa dan berujung mengalami kecelakaan maut telah disetujui oleh pihak siswa, orang tua, hingga guru. Bagian Informasi Yayasan Kesejahteraan Sosial, Dian Nurfarida mengatakan kegiatan perpisahan itu merupakan kegiatan tahunan sekolah. Awak media pun bertanya apakah kegiatan itu wajib untuk diikuti. Dian pun menjawab kegiatan itu sudah melalui kesepakatan antara siswa dan guru. Dian kembali menegaskan bahwa kegiatan perpisahan ke luar kota pun telah disetujui sejumlah pihak.  ""Jadi sebenarnya yang kami lakukan itu kesepakatan antara orang tua, murid dan guru,"" ujar Dian dalam konferensi pers di SMK Lingga Kencana, Depok, Minggu (12/5).  Dian mengungkap alasan pemilihan Bandung sebagai lokasi acara itu lantaran sudah menjadi sebuah kesepakatan. ""Kenapa pilih ke Bandung? Jadi tempat itu sudah disepakati sebelumnya antara wali murid dan orang tua. Kami sudah rapat beberapa kali rapat untuk menentukan tempat. Jadi tempat itu tidak sekonyong-konyong atau tiba-tiba ditentukan,"" jelas dia. Ia pub mengklaim telah ada rapat yang digelar pihak sekolah dengan orang tua siswa terkait acara ini. ""Begitu kenaikan kelas, sebulan sebelumnya dilakukan rapat,"" imbuh dia. Kecelakaan bus rombongan SMK Lingga Kencana terjadi di Jalan Raya Kampung Palasari, Kecamatan Ciater, Kabupaten Subang, Jawa Barat pada Sabtu (11/5) malam. Adapun para korban tewas terdiri dari 9 orang siswa SMK Lingga Kencana, Depok, Jawa Barat, 1 orang guru dan 1 orang warga sekitar kejadian. "," Minggu, 12 Mei 2024 19:15 WIB "
10,cnn indonesia,BNPB: Korban Tewas Banjir Sumbar Jadi 41 Orang,https://www.cnnindonesia.com/nasional/20240512185934-20-1096659/bnpb-korban-tewas-banjir-sumbar-jadi-41-orang,"Badan Nasional Penanggulangan Bencana (BNPB) melaporkan penambahan korban meninggal dunia akibat banjir bandang di sejumlah wilayah Sumatera. Barat (Sumbar) kini menjadi 41 orang. Kepala Pusat Data, Informasi dan Komunikasi Kebencanaan BNPB, Abdul Muhari menjelaskan puluhan korban itu tersebar di sejumlah daerah yakni 19 orang di Kabupaten Agam, 15 orang di Kabupaten Tanah Datar dan 7 orang di Kota Padang Panjang. ""19 Agam, 15 Tanah Datar dan 7 Padang Panjang,"" kata Muhari lewat pesan singkat, Minggu (12/5).   Berdasar keterangan BNPB sebelumnya, banjir pandang di Kabupaten Agam terjadi setelah adanya hujan lebat di tiga kecamatan, yaitu Kecamatan Canduang, Kecamatan Sungai Pua dan Kecamatan IV Koto. Di Kabupaten Tanah Datar, banjir juga dipicu intensitas curah hujan yang tinggi. Banjir kemudian melanda lima kecamatan di Kabupaten Tanah Datar, yakni Kecamatan X Koto, Kecamatan Batipuh, Kecamatan Pariangan, Kecamatan Lima Kaum, dan Kecamatan Sungai Tarab. Selain korban jiwa, banjir juga berdampak pada puluhan rumah dan 12 unit jembatan. Muhari mengatakan banjir yang terjadi di Tanah Datar juga meninggalkan endapan lumpur yang cukup tinggi. ""Oleh karena itu, selain upaya pencarian dan pertolongan, tim gabungan pada hari ini juga berupaya melakukan pembersihan ruas jalan Batusangkar - Padang Panjang yang terdampak endapan lumpur. Alat berat dikerahkan guna percepatan pembersihan akses jalan ini,"" katanya. "," Minggu, 12 Mei 2024 19:05 WIB "
