id,source,title,url,content,date
1,detik,Polisi Tangkap 'Manusia Silver' Pembunuh 2 Pengamen saat Duel di Klaten,https://news.detik.com/berita/d-7336560/polisi-tangkap-manusia-silver-pembunuh-2-pengamen-saat-duel-di-klaten,"Klaten - Satreskrim Polres Klaten menangkap 'Manusia Silver' pelaku duel maut yang menewaskan dua pengamen di Dusun Tegalharjo, Desa Kebondalem Kidul, Prambanan, Klaten. Selain 'Manusia Silver, polisi mengamankan satu orang lainnya. ""Iya (ditangkap), iya betul (ada dua orang),"" jawab singkat Kasat Reskrim Polres Klaten AKP Dica Ariseno Adi dilansir, detikJateng, Minggu (12/5/2024). Kedua orang itu ditangkap di wilayah Kabupaten Banyuwangi, Jawa Timur. Saat ini diduga pelaku dalam perjalanan dibawa ke Klaten. Penangkapan dua orang tersebut sesuai dengan keterangan pemilik kos lokasi perkelahian. Menurut keterangan pemilik kos, selain manusia silver yang panggilannya Bon, juga ada satu temannya yang ikut menghilang setelah kejadian. ""Disini (kos) ada dua orang yang pergi, apa mungkin ikut perkelahian. Panggilannya Putra,"" kata si pemilik kos, Sukirno (60) kepada detikJateng. Menurut Sukirno, pria yang dipanggil Putra itu merupakan teman Bon. Pekerjaannya sebagai pengamen badut. Diberitakan sebelumnya, perkelahian maut terjadi di Dusun Tegalharjo, Desa Kebondalem Kidul, Kecamatan Prambanan, Klaten, menewaskan dua pengamen. Kasus yang terjadi pada Selasa (7/5) malam itu ditangani Polres Klaten. Simak selengkapnya di sini. ","Minggu, 12 Mei  2024 23:24 WIB"
2,detik,Pj Gubernur Jabar Keluarkan Edaran soal Study Tour Usai Laka Bus Maut Subang,https://news.detik.com/berita/d-7336549/pj-gubernur-jabar-keluarkan-edaran-soal-study-tour-usai-laka-bus-maut-subang,"Bandung - Pejabat (Pj) Gubernur Jawa Barat Bey Machmudin mengeluarkan surat edaran yang mengatur tentang pelaksanaan study tour. Surat tersebut keluar usai peristiwa kecelakaan bus rombongan SMK Lingga Kencana yang tewaskan 11 orang. Dilansir detikJabar, Surat Edaran Nomor : 64/PK.01/Kesra Tentang Study Tour Pada Satuan Pendidikan yang ditandatangani Pj Gubernur Jabar Bey Machmudin. Dalam edaran itu, pihak sekolah harus perhatikan aspek keselamatan dan kelaikan bus. Diketahui, sekolah Jawa Barat bakal memasuki masa kenaikan kelas dan akhir tahun pelajaran hingga liburan sekolah. Selain itu, akan ada juga kegiatan study tour sekolah. Selain mengimbau study tour dilakukan di daerah Jawa Barat, Bey menekankan kepada setiap sekolah untuk memperhatikan aspek keselamatan. Selain kelayakan bus, kondisi jalur yang bakal dilalui menurutnya juga harus diperhatikan. ""Kegiatan study tour memperhatikan asas kemanfaatan serta keamanan bagi seluruh peserta didik, guru, dan tenaga kependidikan dengan memperhatikan kesiapan awak kendaraan, keamanan jalur yang akan dilewati,"" tuturnya. Dia menginginkan agar seluruh kegiatan study tour dilaporkan ke dinas pendidikan. Bey meminta surat edaran tersebut untuk jadi pedoman pelaksanaan study tour di Jabar. Simak selengkapnya di sini.","Minggu, 12 Mei  2024 22:40 WIB"
3,detik,Kemenhub Sebut Bus Maut Rombongan Pelajar Tak Uji Berkala Tiap 6 Bulan,https://news.detik.com/berita/d-7336543/kemenhub-sebut-bus-maut-rombongan-pelajar-tak-uji-berkala-tiap-6-bulan,"Jakarta - Kementerian Perhubungan (Kemenhub) mengatakan Bus Trans Putera Fajar yang kecelakaan saat membawa rombongan SMK Lingga Kencana Depok tak lakukan uji berkala. Padahal, aturan menyebut uji berkala harus dilakukan tiap enam bulan. Direktorat Jenderal Perhubungan Darat Kementerian Perhubungan menegaskan pentingnya setiap Perusahaan Otobus (PO) melakukan uji berkala armada dan mengimbau penggunaan sabuk keselamatan pada angkutan umum demi mengurangi tingkat fatalitas kecelakaan. ""Kami turut berduka cita yang sedalam-dalamnya atas musibah kecelakaan yang menimpa rombongan siswa SMK Lingga Kencana Depok di Subang yang diduga akibat rem blong pada bus. Berdasarkan informasi terkini, jumlah korban jiwa sebanyak 11 orang yang terdiri dari 6 perempuan dan 5 laki-laki serta jumlah korban luka berat sebanyak 12 orang dan luka ringan sebanyak 20 orang,"" ungkap Direktur Jenderal Perhubungan Darat, Hendro Sugiatno, dalam keterangannya, Minggu (12/5/2024). Dia menyatakan bahwa Bus Trans Putera Fajar, pada aplikasi Mitra Darat, tercatat tidak memiliki izin angkutan dan status lulus uji berkala (BLU-e) berlaku hingga 6 Desember 2023. Dengan kata lain kendaraan tersebut tidak melakukan uji berkala perpanjangan setiap 6 (enam) bulan sekali sebagaimana yang ada di dalam ketentuan. ""Kami meminta agar setiap PO bus dapat secara rutin melakukan uji berkala pada kendaraannya sesuai dengan yang tercantum pada Permenhub Nomor PM 19 Tahun 2021 tentang Pengujian Berkala Kendaraan Bermotor, telah dinyatakan bahwa Uji Berkala (KIR) wajib dilakukan oleh pemilik. Bagi kendaraan yang telah beroperasi tentunya secara berkala yakni setiap 6 (enam) bulan wajib dilakukan uji berkala perpanjangan,"" jelas Hendro. Hendro berpesan, jika pada saat awal keberangkatan kendaraan dirasa ada yang tidak sesuai atau tidak benar, diimbau agar tidak memaksakan perjalanan. Untuk PO bus yang tak berizin tetapi mengoperasikan kendaraannya akan dikenakan pidana dan pihaknya menyerahkan kasus tersebut kepada pihak kepolisian untuk menindaklanjuti proses hukumnya. Kemenhub mengutip UU Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan, Pasal 310 menyebutkan setiap pengemudi yang karena kelalaiannya mengakibatkan kecelakaan dan terdapat orang meninggal dunia dikenakan sanksi pidana penjara paling lama 6 tahun dan/atau denda paling banyak 12 juta rupiah. Sementara itu, berdasarkan Permenhub Nomor PM 74 Tahun 2021 tentang Perlengkapan Keselamatan Kendaran Bermotor, Pasal 2 ayat (1) bahwa setiap Kendaraan Bermotor yang dioperasikan di jalan harus memenuhi persyaratan teknis. ""Persyaratan teknis tersebut terdiri atas perlengkapan keselamatan yang salah satunya adalah Sabuk Keselamatan. Setiap bus wajib menyediakan tempat duduknya dengan sabuk keselamatan dan wajib digunakan oleh pengemudi maupun penumpang,"" ujarnya. Ditjen Perhubungan Darat melalui Balai Pengelola Transportasi Darat bersama dengan Dinas Perhubungan Provinsi akan monitoring dan evaluasi pengujian berkala kendaraan bermotor yang ada di seluruh Indonesia. ""Yang tidak kalah penting adalah perlunya keterlibatan peran serta masyarakat terutama pengguna jasa dalam pengecekan kelaikan jalan armada bus melalui aplikasi Mitra Darat. Saat ini aplikasi bisa dengan mudah diunduh pada smartphone dan pengecekannya pun cukup mudah hanya dengan memasukan nomor polisi kendaraan,"" pungkasnya. Ke depan harapannya para pengguna jasa dapat lebih selektif dalam memilih kendaraan bus yang akan digunakan. Jangan tergiur dengan harga yang murah. Harus dapat dipastikan mengenai surat izin opersional kendaraan, status uji KIR kendaraan, kondisi pengemudi, serta penyediaan tempat istirahat yang layak bagi para pengemudi.","Minggu, 12 Mei  2024 22:29 WIB"
4,detik,"Gempa M 4,3 Guncang Tuban",https://news.detik.com/berita/d-7336532/gempa-m-4-3-guncang-tuban,"Jakarta - Badan Meteorologi Klimatologi dan Geofisika (BMKG) menyatakan gempa bumi terjadi di Laut Tuban, Jawa Timur. Gempa tersebut berkekuatan Magnitudo (M) 4,3. Data BMKG menyebut gempa terjadi pada Minggu (12/5/2024) pukul 21/33 WIB. Lokasi gempa berada pada koordinat 5,87 lintang selatan, dan 112,56 bujur timur. ""Pusat gempa berada di laut 128 km timur laut Tuban,"" tulis BMKG melalui akun X-nya. Pusat gempa berada pada 8 km. Gempa tersebut dirasakan di Tubang. ""Dirasakan (MMI) III Tubang,"" kata BMKG. MMI III berarti getaran dirasakan nyata dalam rumah. Terasa getaran seakan-akan ada truk berlalu. Belum ada informasi mengenai ada tidaknya kerusakan dan korban akibat gempa tersebut. ","Minggu, 12 Mei  2024 22:03 WIB"
5,detik,"Jelang Pilkada, Pemilih Diminta Waspadai Politisi 'Kutu Loncat'",https://news.detik.com/berita/d-7336572/jelang-pilkada-pemilih-diminta-waspadai-politisi-kutu-loncat,"Jakarta - Tahapan pilkada serentak 2024 mulai berlangsung. Pemuda Mandiri Peduli Rakyat Indonesia (PMPRI) mengingatkan pemilih khusunya di pilkada Bekasi untuk cerdas dalam memilih calon. ""PMPRI mengajak generasi milenial atau Gen Z agar lebih cerdas dalam memilih calon kepala daerah yang akan bertarung pada Pilkada Kota Bekasi. Salah satunya terkait fenomena politikus 'kutu loncat',"" kata Ketua Umum PMPRI Rohimat, dalam keterangan tertulis yang diterima, Minggu (12/5/2024). Ia menuturkan, politisi 'kutu loncat' ini merupakan politikus yang kerap berpindah partai politik. Ia menilai orang tersebut menunjukkan ketidak konsistenan. ""Bila seseorang tidak memiliki ideologi, akan sangat mudah baginya untuk digoyang atau tidak konsisten akan kebijakannya,"" ujar Rohimat. Selain itu, menurutnya hal ini juga dapat berdampak bagi partai yang diisi. Menurutnya dampak tersebut yakni salah satunya dapat merusak sistem kaderisasi partai. ""Karena seorang bisa menduduki sebuah posisi tanpa melewati jenjang kaderisasi yang ada. Selain itu akan melahirkan kecemburuan politik terhadap kader yang telah lama membesarkan partai,"" tuturnya.","Minggu, 12 Mei  2024 22:00 WIB"
6,detik,Gibran Izin 5 Hari untuk Kunjungan Ke UEA dan Qatar,https://news.detik.com/berita/d-7336509/gibran-izin-5-hari-untuk-kunjungan-ke-uea-dan-qatar,"Solo - Wali Kota Solo Gibran Rakabuming Raka akan mengunjungi Qatar dan Uni Emirat Arab (UEA) selama lima hari. Dia pun telah izin untuk kunjungan pada 13 sampai 17 Mei 2024 itu. Dilansir detikJateng, Kepala Bagian (Kabag) Protokol dan Komunikasi Pimpinan (Prokompim) Pemkot Solo Herwin Tri Nugroho Adi menyebut izin Gibran telah keluar sejak pekan lalu. ""Semua perizinan sudah selesai pada minggu lalu tanggal 8 Mei 2024. Sudah keluar izin dari Sekretaris Negara dan sudah keluar izin dari exit permit Kementerian Luar Negeri,"" kata Herwin kepada awak media, Minggu (12/5/2024). Gibran direncanakan berangkat ke UEA dan Qatar pada hari ini. ""Tinggal berangkat ke UEA dan Qatar. Iya berangkat Minggu sampai tanggal 17 Mei 2024,"" ujarnya. Dia mengatakan Gibran berkunjung ke UEA dan Qatar tanpa ditemani istrinya, Selvi Ananda. ""Iya berangkat sendiri,"" ucap Herwin. Alasan Gibran ke UEA dan Qatar adalah dalam rangka menyampaikan progres dana hibah yang telah cair. ""Ini kan sudah progres hibah UEA sudah kelihatan, menyampaikan melaporkan kepada MBZ (Mohammed bin Zayed Al Nahyan) progres gimana, termasuk hibah RS dan hibah sebelumnya itu sampai sejauh mana. nanti setelah operasionalisasi arahan MBZ seperti apa,"" jelas Herwin. Simak selengkapnya di sini.","Minggu, 12 Mei  2024 21:27 WIB"
7,detik,Wanti-wanti Legislator Usai 'Om Albert' Lapor Polisi,https://news.detik.com/berita/d-7336505/wanti-wanti-legislator-usai-om-albert-lapor-polisi,"Jakarta - Mantan Kepala Kantor Unit Penyelenggara Bandar Udara (UPB) Sangia Nibandera Kolaka, Sulawesi Tenggara (Sultra), Asri Damuna melaporkan sebuah akun media sosial (medsos) ke polisi setelah viral mengajak YouTuber asal Korea Selatan (Korsel) ke hotel. Wakil Ketua Komisi III DPR Habiburokhman mewanti-wanti Polda Sultra agar hati-hati dalam menanggapi laporan ini. Sebagaimana diketahui, Asri Damuna atau 'Om Albert' viral usai mengajak Jiah, Youtuber asal Korsel untuk mampir ke hotelnya. Imbas viral ini, Kementerian Perhubungan (Kemenhub) telah mencopot Asri Damuna dari jabatannya. Asri pun dipanggil untuk menjalani pemeriksaan. ""Iya (Asri Damuna dipanggil untuk diperiksa di Kemenhub),"" ujar Kepala Bagian Kerja Sama Internasional, Humas, dan Umum Ditjen Perhubungan Udara Kemenhub Mokhammad Khusnu saat dihubungi detikcom, Sabtu (11/5/2024).   Khusnu belum menjelaskan lebih jauh terkait pemeriksaan yang dilakukan terhadap Asri. Dia mengaku belum menerima informasi lebih lanjut terkait kasus yang menyeret pejabat Kemenhub itu. ""Masih itu (terakhir pencopotan dari jabatan),"" katanya. Apa isi laporan Asri? Baca halaman selanjutnya. 
","Minggu, 12 Mei  2024 21:16 WIB"
8,detik,PKC PMII Kaltim Soroti Lubang Bekas Tambang di Samboja Menelan Nyawa,https://news.detik.com/berita/d-7336556/pkc-pmii-kaltim-soroti-lubang-bekas-tambang-di-samboja-menelan-nyawa,"Jakarta - PKC Pergerakan Mahasiswa Islam Indonesia (PMII) Kaltim menyoroti peristiwa tewasnya anak yang tenggelam di lubang bekas tambang di Kecamatan samboja, Kutai Kartanegara. Ketua PKC PMII Kaltim Sainuddin mengatakan perlu adanya tindakan nyata agar hal tersebut tidak kembali terulang. ""Kematian tragis anak-anak di lubang tambang Kalimantan Timur harus menjadi pengingat bagi kita semua untuk bergerak bersama. Industri tambang dan pemerintah harus bertanggung jawab atas kelalaian mereka, dan masyarakat perlu bersatu untuk mendesak tindakan nyata demi melindungi anak-anak dan masa depan generasi penerus,"" ujar Sainuddin, dalam keterangan tertulis yang diterima, Minggu (12/5/2024). Ia menilai beberapa hal perlu dilakukan untuk menangani hal ini. Salah satunya dengan penutupan dan reklamasi lubang tambang bekas dengan standar yang ketat. ""Penutupan dan reklamasi lubang tambang bekas dengan standar yang ketat dan akuntabel. Penegakan hukum yang tegas terhadap perusahaan tambang yang lalai dalam menangani lubang tambang bekas. Pemberian edukasi dan sosialisasi kepada masyarakat tentang bahaya lubang tambang bekas, khususnya kepada anak-anak,"" ujarnya. Ia menyebut seorang anak berusia 16 tahun ditemukan tewas tenggelam di lubang bekas tambang galian C di Kecamatan Samboja, Kutai Kartanegara. Menurutnya, kejadian ini terjadi pada 11 Mei 2024. Sainuddin juga meminta agar izin tambang tersebut dicabut. Tidak hanya itu, menurutnya pihat pengelola perlu bertanggung jawab. ""Cabut izin tambang galian C di samboja yang memakan korban anak 16 tahun. Menuntut pihak PT pengelola galian C di samboja untuk bertanggung jawab atas kelalaian yang merenggang nyawa,"" tuturnya.","Minggu, 12 Mei  2024 21:10 WIB"
9,detik,Kesedihan Keluarga dari Guru SMK Lingga Kencana yang Tewas Kecelakaan,https://news.detik.com/berita/d-7336499/kesedihan-keluarga-dari-guru-smk-lingga-kencana-yang-tewas-kecelakaan,"Jakarta - Kecelakaan bus maut yang menewaskan 11 orang di Ciater, Subang, Jawa Barat menyisakan duka bagi keluarga korban. Misalnya bagi Karnaen (50), adik dari korban tewas Suprayogi (65) mengaku sangat terpukul atas kehilangan kakaknya yang jadi guru di SMK Lingga Kencana, Depok itu. Karnaen mengaku sangat sedih sekaligus menyesal. Pasalnya Karnaen tidak jadi bersua dengan Suprayogi saat momen lebaran Idul Fitri 2024. Dia tidak menyangka momen itu adalah kali terakhir Suprayogi ingin bertemu dengan adik-adiknya. Namun Karnaen sedang ada urusan dan tak jadi bertemu sang kakak. ""Saya komunikasi terakhir pas lebaran. Karena saya sibuk, jadi kami hanya menyapa di WA saja. Saya tidak bisa datang, beliau sempat bilang ke saya ingin bertemu dengan adik-adiknya. Tapi saya tidak tahu jika itu adalah kali terakhirnya. Saya tidak tahu beliau akan meninggal,"" ujar Karnaen kepada wartawan di TPU Parung Bingung, Minggu (12/5/2024). Karnaen menceritakan bahwa sosok Suprayogi adalah orang yang baik. Dia adalah pria yang menjadi panutan baik bagi anak-anak maupun adik-adiknya. Tadinya saya tidak percaya, pas diidentifikasi ternyata benar (Suprayogi). Kebetulan saya tinggal di Cianjur. ""Almarhum ini adalah sosok pendidikan. Dia adalah ayah serta kakak, beliau ini orang baik, sabar. Beliau mengabdikan dirinya untuk pendidikan. Beliau suka membimbing anak-anak dan siswanya,"" ungkap Karnaen. Kepergian Suprayogi membuat Karnaen terpukul. Di pun berharap pihak kepolisian bisa mengusut sebab kecelakaan maut tersebut. Karnaen mendengar bus yang mengangkut siswa SMK Lingga Kencana untuk acara perpisahan ke Bandung tidak laik pakai. . ""Mendegar informasi mobil ini nggak layak berangkat, mobilnya sering rusak, mogok, makanya saya minta pada penegak hukum diusut apa penyebab kecelakaan ini,"" tegas Karnaen. Karnaen kemudian bercerita, Suprayogi didampingi sang istri Rohayati saat bertolak ke Bandung bersama siswa-siswinya. Namun selepas acara itu, bus yang ditumpanginya kecelakaan, dan menyebabkan Suprayogi tewas, sementara istrinya mendapat luka serius. ""(Istrinya) selamat, tapi mengalami patah tulang karena benturan. Saat ini masih di rumah sakit. Katanya hari ini mau dioperasi. Patah lengannya kena benturan. Mungkin ada perdarahan juga. Itu sudah ada anaknya di sana. Belum fokus ke sana karena saat ini masih fokus di pemakaman ini,"" jelas dia. Kecelakaan maut itu terjadi pada Sabtu (11/5). Bus Trans Putera Fajar yang mengalami kecelakaan itu sedang membawa rombongan pelajar SMK Lingga Kencana Depok. Kecelakaan diduga dipicu rem blong. Polisi menyatakan tidak ada jejak rem di TKP kecelakaan. Berikut ini daftar nama 11 korban tewas bus terguling di Subang berdasarkan data yang disampaikan pihak RSUD Subang pada Minggu (12/5): 1. Intan Rahmawati 2. Dimas Aditya 3. Desy Yulyanti 4. Ahmad Fauzi 5. Intan Fauziah 6. Nabila Ayu Lestari 7. Raka 8. Robiatul Adawiyah 9. Tyara 10. Mahesya Putra 11. Suprayogi ","Minggu, 12 Mei  2024 21:08 WIB"
10,detik,Alasan Pihak SMK Lingga Kencana Pilih PO Bus yang Kecelakaan di Subang,https://news.detik.com/berita/d-7336474/alasan-pihak-smk-lingga-kencana-pilih-po-bus-yang-kecelakaan-di-subang,"Depok - Yayasan Kesejahteraan Sosial (YKS) yang menaungi SMK Lingga Kencana Depok, mengatakan kegiatan perpisahan siswa sebelumnya menggunakan perusahaan otobus (PO) berbeda. PO penyedia bus yang kecelakaan baru dipilih tahun ini. ""Oh enggak-enggak biasa bergantian (memilih PO bus),"" kata Bagian Informasi Yayasan Kesejahteraan Sosial, Dian Nurfarida, dalam konferensi pers di SMK Lingga Kencana Depok, Minggu (12/5/2024). Dian mengatakan memilih PO tersebut karena merasa yakin bus tersebut layak. Dirinya juga menyebut dua bus rombongan sekolah lainnya baik-baik saja. ""Awalnya kami merasa cukup layak untuk memberangkatkan dengan bis ini. (Pertimbangan memilih PO) alhamdulillah dua bis baik-baik aja sih,"" kata dia. ""Sebenarnya, dari awal kami merasa yakin dengan PO ini. Kalau tidak yakin, kami tidak memberangkatkan bis ini,"" tambahnya. Namun ketika ditanya apakah 3 bus yang berangkat membawa rombongan berasal dari PO yang sama, dirinya tidak bisa memastikan. Dian mengatakan akan mengecek hal tersebut lebih lanjut. ""Kami belum ngecek sih. Nanti kami akan koordinasi dengan pihak kepolisian,"" sebutnya. Kecelakaan maut itu terjadi pada Sabtu (11/5). Bus Trans Putera Fajar yang mengalami kecelakaan itu sedang membawa rombongan pelajar SMK Lingga Kencana Depok. Kecelakaan diduga dipicu rem blong. Polisi menyatakan tidak ada jejak rem di TKP kecelakaan. Berikut ini daftar nama 11 korban tewas bus terguling di Subang berdasarkan data yang disampaikan pihak RSUD Subang pada Minggu (12/5): 1. Intan Rahmawati 2. Dimas Aditya 3. Desy Yulyanti 4. Ahmad Fauzi 5. Intan Fauziah 6. Nabila Ayu Lestari 7. Raka 8. Robiatul Adawiyah 9. Tyara 10. Mahesya Putra 11. Suprayogi  ","Minggu, 12 Mei  2024 20:39 WIB"
