id,source,title,url,content,date
1,detik,"Sopir Bus Maut Subang Jadi Tersangka, Bey Yakin Polisi Profesional",https://news.detik.com/berita/d-7343386/sopir-bus-maut-subang-jadi-tersangka-bey-yakin-polisi-profesional,"Jakarta - Sadira, sopir bus Putera Fajar, ditetapkan sebagai tersangka dalam kasus kecelakaan bus maut yang menewaskan 11 orang di Jalan Raya Ciater, Subang, Jawa Barat. Pj Gubernur Jawa Barat Bey Machmudin mengatakan Polda Jabar sudah bekerja profesional dalam menangani kasus ini. ""Saya rasa polisi sudah sangat profesional,"" kata Bey di Gedebage, Kota Bandung, dilansir detikJabar, Kamis (16/5/2024). Bey menyesalkan kecelakaan bus yang membawa rombongan siswa SMK Lingga Kencana Kota Depok bisa terjadi. ""Karena kami sangat menyesalkan terjadinya hal itu,"" tambah Bey. Disinggung terkait desakan masyarakat yang mempertanyakan PO bus belum ditetapkan sebagai tersangka dalam kasus ini, Bey menyerahkan hal tersebut kepada polisi Menurut Bey, pihaknya saat ini berfokus pada kesembuhan korban dan regulasi dari study tour itu sendiri. Selain itu, menurut Bey, pihaknya mengatur regulasi terkait kegiatan study tour jangan sampai memberatkan orang tua siswa. ""Study tour itu jangan hanya dilihat dari sisi kemarin iuran seperti apa, kami evaluasi terus jangan sampai merugikan masyarakat,"" ujar Bey. Simak selengkapnya di sini.  Saksikan juga 'Perhatian! Begini Cara Cek Kelayakan Bus Sebelum Bepergian':  [Gambas:Video 20detik]","Kamis, 16 Mei  2024 15:31 WIB"
2,detik,"Terjaring Razia di Bogor, Sejumlah Bus Kena Tilang karena Kir Mati",https://news.detik.com/berita/d-7342931/terjaring-razia-di-bogor-sejumlah-bus-kena-tilang-karena-kir-mati,"Jakarta - Polisi menerapkan tilang bagi kendaraan yang terjaring pemeriksaan uji kelayakan di Km 45 Tol Jagorawi, Kabupaten Bogor, Jawa Barat. Kebanyakan pelanggaran adalah terkait administrasi uji kendaraan bermotor atau kir. ""Dari kegiatan hari ini lumayan banyak (yang terjaring) dan kebanyakan memang di sini administrasi kirnya habis. Sudah dilakukan penilangan oleh pihak kepolisian,"" kata Kepala Dinas Perhubungan (Kadishub) Kabupaten Bogor Agus Ridho kepada wartawan, Kamis (16/5/2024). Agus mengatakan uji kelayakan kendaraan yang membawa rombongan ini akan terus dilakukan. Hal itu untuk mengantisipasi kecelakaan seperti yang terjadi di Subang. ""Dishub Kabupaten Bogor bersama kepolisian dan TNI, kita terus berkoordinasi dan melakukan langkah-langkah mengantisipasi menyikapi adanya kecelakaan kemarin di Subang, dan salah satu kegiatan adalah ramp check (uji kelaikan) terhadap kendaraan pariwisata yang melintas di kawasan Kabupaten Bogor,"" ucapnya. ""Tentu harapan kita ramp check ini akan terus kita lakukan secara rutin dan walaupun hari kerja apalagi hari libur, terus kita lakukan kegiatan ini bisa meminimalisir adanya kecelakaan di Kabupaten Bogor,"" sambungnya. Secara keseluruhan, lanjut dia, pelanggaran banyak secara administratif. Untuk fungsi-fungsi kendaraan menurutnya cukup baik dari kendaraan yang telah dicek. ""Tadi hasil pengecekan sementara rata-rata masih layak hanya saja memang administrasi kirinya habis,"" ungkapnya. Kendaraan yang hari ini terjaring, kebanyakan PO-nya berada di luar Kabupaten Bogor. Pihaknya akan berkoordinasi dengan PO tempat bus tersebut.","Kamis, 16 Mei  2024 12:29 WIB"
3,detik,Polisi Akan Panggil PO dan Karoseri Buntut Bus Maut Subang Jadi High Deck,https://news.detik.com/berita/d-7342884/polisi-akan-panggil-po-dan-karoseri-buntut-bus-maut-subang-jadi-high-deck,"Jakarta - Polisi membuka peluang pihak perusahaan otobus (PO) dan pihak karoseri jadi tersangka buntut kecelakaan maut di Jalan Raya Ciater, Subang, Jawa Barat. Polisi akan terlebih dahulu memanggil kedua pihak tersebut. ""Nanti kita akan panggil itu PO-nya, kita akan selidiki siapa yang memerintahkan atau merubah dimensi kendaraan busnya, pemeriksaan kita masih berjalan. Karoseri nanti kita panggil,"" kata Dirlantas Polda Jawa Barat Kombes Wibowo saat dihubungi, Kamis (16/5/2024). Wibowo mengatakan saat ini pihaknya masih melakukan serangkaian pemeriksaan terhadap semua pihak. Polisi juga tengah mengumpulkan alat bukti yang berkaitan dengan kecelakaan maut itu. ""Kemudian siapa pihak travel yang mencarikan bus-bus ini, kan busnya 3 macam ini, tiga merek. Semuanya kita panggil semuanya kita mintakan keterangan semuanya. Tidak hanya PO saja, pengurus PO-nya, karoseri yang mengubah terkait dengan bus tadi,"" kata dia. ""Kenapa KIR mati, siapa yang bertanggung jawab terhadap perpanjangan uji kirnya, nanti kita cek semua. Siapa orang yang memiliki peran untuk menunjuk kendaraan ini mengoperasikan kendaraan ini,"" imbuhnya. Wibowo belum bisa menyimpulkan apakah modifikasi dimensi tersebut menjadi pemicu kecelakaan ataupun tidak. Pihak kepolisian akan meminta keterangan saksi ahli terkait hal itu. ""Kemarin kita baru meminta keterangan terkait kegagalan fungsi rem, beberapa temuan itu. Ini sedang kita mintakan keterangan lagi terkait perubahan dimensi itu. Perubahan dimensi ini berpengaruh tidak terhadap kecelakaan kemarin,"" tuturnya. Bus yang membawa rombongan SMK Lingga Kencana Depok itu mengalami kecelakaan di Subang, Jawa Barat, pada Sabtu (11/5) malam lalu. Sebanyak 11 orang tewas dan beberapa korban mengalami luka-luka akibat kecelakaan itu. KNKT Ungkap Bus Dimodifikasi Jadi High Desk Komite Nasional Keselamatan Transportasi (KNKT) menginvestigasi penyebab kecelakaan bus maut di Subang yang membawa rombongan SMK Lingga Kencana Depok. KNKT mengungkap bus tersebut sudah dimodifikasi. ""Iya sesuai dengan faktual yang pernah kita sampaikan, memang terjadi perubahan, tapi tidak sesuai dengan surat aslinya,"" kata Ketua KNKT Soerjanto Tjahjono kepada wartawan, Rabu (15/5). Soerjanto mengungkap bus yang mengalami kecelakaan tersebut dimodifikasi menjadi high deck. Dia belum mengetahui ada tidaknya kaitan antara modifikasi bus dan kecelakaan. KNKT masih melakukan investigasi. ""Yang aslinya bukan high deck, tapi yang ditemukan kemarin high deck. Kami belum bisa menyampaikan itu karena kami sedang menganalisa. Apakah itu berkontribusi langsung, kami belum bisa mengatakan hal itu,"" jelasnya. Soerjanto juga menyampaikan bahwa bus ini tidak memiliki izin untuk digunakan di aplikasi Mitra Darat. Soerjanto mengimbau masyarakat untuk selalu mengecek kelayakan bus yang akan digunakan. ""Jadi sekali lagi, sebelum menggunakan bus, tolong sekali lagi masyarakat untuk mengecek busnya itu. Kalau terdaftar di Mitra Darat berarti busnya berizin dan kalau dinyatakan laik, silakan digunakan,"" kata Soerjanto.  Simak Video 'Polisi Bicara Potensi Tersangka Baru di Kasus Kecelakaan Bus Wisata di Subang':  [Gambas:Video 20detik]","Kamis, 16 Mei  2024 12:07 WIB"
4,detik,"Polisi: Sopir Bus Kecelakaan Maut Subang Bukan Karyawan PO, tapi Freelance",https://news.detik.com/berita/d-7342807/polisi-sopir-bus-kecelakaan-maut-subang-bukan-karyawan-po-tapi-freelance,"Jakarta - Polisi menetapkan Sadira, sopir bus kecelakaan maut di Jalan Raya Ciater, Subang, Jawa Barat, jadi tersangka. Dari hasil pemeriksaan, Sadira bukan karyawan resmi perusahaan otobus (PO), melainkan freelance. ""Hasil interview saya dengan sopir bahwa sopir ini adalah bukan karyawan tetap, tapi dia freelance yang dipekerjakan oleh perusahaan apabila sewaktu waktu sopir di perusahaan itu habis,"" kata Dirlantas Polda Jawa Barat Kombes Wibowo saat dihubungi, Kamis (16/5/2024). Wibowo mengatakan dia sudah menjadi pegawai freelance selama tiga tahun. Dia mengaku baru sekali mengendarai bus maut tersebut. ""Sudah freelance itu selama tiga tahun. Dan kebetulan dia baru sekali mobil itu,"" ujarnya. Bus yang membawa rombongan SMK Lingga Kencana Depok itu kecelakaan di Subang, Jawa Barat, pada Sabtu (11/5) malam lalu. Sebanyak 11 orang tewas dan beberapa korban mengalami luka-luka akibat kecelakaan itu. Sopir Terancam 12 Tahun Penjara Sopir bus Putera Fajar bernama Sadira ditetapkan sebagai tersangka atas kasus kecelakaan maut yang menewaskan 11 orang di Jalan Raya Ciater, Subang, Jawa Barat. Sadira terancam hukuman 12 tahun penjara. ""Berdasarkan keterangan saksi, baik pengemudi maupun penumpang lainnya, termasuk saksi ahli berikut atau surat dokumen hasil ramp check yang tadi sudah ada Pasal 1 84 KUHAP dan sudah kita gelar perkara, kita menetapkan bahwa tersangka dalam kasus kecelakaan ini adalah pengemudi bus Putera Fajar, atas nama Sadira,"" ujar Dirlantas Polda Jabar Kombes Wibowo saat melakukan konferensi pers di Mapolres Subang, dilansir detikJabar, Selasa (14/5/2024). Tersangka dikenai Pasal 3 11 ayat 5 Undang-Undang Lalu Lintas Tahun 2009 dengan ancaman maksimal kurungan 12 tahun penjara serta denda Rp 24 juta. ""Namun kami masih terus melakukan pendalaman, pemeriksaan, dan tidak menutup kemungkinan akan adanya tersangka-tersangka lain,"" tutur Dirlantas.","Kamis, 16 Mei  2024 11:36 WIB"
5,detik,Kebijakan untuk Kebajikan,https://news.detik.com/kolom/d-7342678/kebijakan-untuk-kebajikan,"Jakarta - Sabtu, 11 Mei 2024 seharusnya menjadi kenangan indah bagi pelajar SMK Lingga Kencana, Depok yang baru saja kembali dari karya wisata. Namun sebaliknya, hari itu menjadi hari yang mengubah impian dan cita-cita menjadi kesedihan dan kehampaan. Setidaknya inilah yang dirasakan oleh korban dan keluarga peristiwa kecelakaan lalu lintas Bus Pariwisata Trans Putera Fajar AD 7524 OG di Subang, Jawa Barat. Dalam penanganan kecelakaan ini turun pihak kepolisian, dinas perhubungan bahkan KNKT. Hasil olah TKP dan penyelidikan tim begitu cepat diwartakan di berbagai media kemudian viral. Seperti dapat diprediksi sebelumnya, 'rem blong' menjadi frase yang terus muncul dari satu peristiwa ke peristiwa kecelakaan di jalan raya, terutama yang viral dan menjadi perhatian masyarakat. Belum genap sepekan, 16 Mei 2024, terbit kebijakan atau himbauan 'melarang karya wisata sekolah dilaksanakan ke luar kota'. Sungguh menggelikan memang pengambilan kebijakan yang kita ambil. Alih-alih menempatkan fokus permasalahan atas kelalaian pengemudi dan kontrol Perusahaan Otobus (PO) Trans Putera Fajar, terhadap maintenance dan pre-departure procedure, kita lebih memilih memangkas peluang putra-putri kita untuk bisa belajar dari alam dan perjalanan karya wisata. Apakah aturan atau himbauan pembatasan itu berdampak pada meningkatkan aspek keselamatan? Sungguh jauh panggang dari api. Padahal secara aturan, UU Nomor 2 Tahun 2009 tentang Lalu lintas dan Angkutan Jalan telah membuka peluang pertanggungjawaban yang lebih jauh kepada operator perusahaan angkutan orang dan barang (pasal 186-194 UULLAJ) maupun pemerintah selaku penyelenggara (pasal 197 UULLAJ). Dalam menentukan kebijakan publik, kita mengenal tahapan risk analysis (analisis resiko). Sesuatu yang menarik dalam risk analysis adalah perlunya imajinasi dan pemikiran mendalam akan root cause. The Rumsfeld matrix memberikan parameter 'Knowns' and 'Uknowns'. Kerap dalam penyusuna kebijakan publik kita terjebak dalam perangkap analisis risiko yang mendasarkan penilaian hanya pada hal-hal yang kita ketahui secara kasat mata (Know Knowns). Namun lebih sering kita enggan mendalami root cause yang tersembunyi di balik tumpukan jerami (Known Unknowns). Known Unknowns mengajarkan kita untuk mencari risiko yang kita ketahui ada tapi tidak terlihat. Sebagai contoh, kita ketahui bahwa sistem pemeriksaan KIR, maintenance kendaraan dan pemeriksaan kesiapan driver (kesehatan maupun driving behavior) masih menjadi penyebab kecelakaan menonjol paling besar, tapi tidak ada seorang pun yang dapat memprediksi kapan atau sejauh mana kecelakaan akan terjadi kembali. Sulit memang. Ini termasuk tantangan. Namun, bukankah ini semua tugas pokok dari UULLAJ yang telah diamanatkan kepada para pemerintah sebagai public servant. Realitas aktual di mana petugas sangat cepat mengambil kesimpulan 'rem blong' seakan menjadi lingkaran setan yang menyelesaikan satu kasus, hingga kita teringat lagi ketika ada kecelakaan serupa. Situasi ini dipengaruhi literasi yang lemah dan berdampak pada lemahnya literasi publik terhadap persoalan keselamatan jalan, cerminan umum lemahnya risk awareness kita di berbagai aspek kehidupan. Dalam periode Januari sampai April 2024 ini saja tercatat setidaknya tujuh kejadian kecelakaan melibatkan bus pariwisata, artinya hampir dua kali kejadian dalam sebulan. Kita harus introspeksi bahwa memang kita lemah dalam data, analisis dan eksekusi. Jarang bahkan belum pernah kita mendengar penjelasan analisis kecelakaan transportasi darat secara komprehensif beserta rekomendasi dari pejabat atau instansi berwenang yang mengaitkan penyebab dan resolusi atas permasalahan sistemik ini. Jika regulasi yang ada dinilai tidak lagi relevan dan optimal, maka kajian terhadap regulasi tentunya mendesak untuk dilakukan. Namun jika regulasi yang ada tidak dipraktikkan dengan optimal maka kita mengesampingkan efektivitas. Jika kita mengesampingkan efektivitas regulasi, bukan hanya kita akan kehilangan sepuluh atau dua puluh persen produktivitas, namun jika berkaitan dengan 'nyawa' maka puluhan bahkan ratusan nyawa anak bangsa akan melayang sia-sia. Harapan publik kepada pemerintah sejatinya adalah lahirnya kebijakan yang membawa kebajikan. Kemampuan untuk dapat mengungkap fenomena 'Unknown' pada sistem keselamatan jalan dengan perangkat peraturan perundangan yang ada secara optimal. Lebih jauh, publik juga berharap keterbukaan pemerintah terhadap 'kelemahan' risk analysis dan memperbaikinya dengan pemberdayaan dan keterlibatan publik sebagai bukti komitmen dan akuntabilitas. Karena sesungguhnya tanggung jawab risiko adalah berusaha memikirkan segala sesuatu yang berada di luar yang telah kita pikirkan. Kecelakaan lalu lintas meskipun peristiwa sporadis, tanggung jawabnya dapat ditarik vertikal sampai pimpinan negara. Jika kepala dinas bahkan menteri tidak dapat mengatasi permasalahan keselamatan, maka presiden sekalipun harus merasa terpanggil menyelesaikan keruwetan ini. Belajar dari reformasi PT KAI, kita masih memiliki optimisme bahwa transportasi darat dapat dioptimalkan menjadi lebih baik menjamin keamanan dan keselamatan aktivitas warga negara. Jika ditarik benang merah, persoalan kondisi berulangnya peristiwa kecelakaan adalah road safety mismanagement, komitmen dan leadership. Semoga kasus pelajar SMK Lingga Kencana menjadi kasus terakhir karena semua pemimpin merasa terpanggil akan tanggung jawab untuk merumuskan kebijakan yang melahirkan 'kebajikan'. Kombes Pol Sigit Dany Setiyono, SH., SIK., MSc (Eng).","Kamis, 16 Mei  2024 10:28 WIB"
6,detik,Gerindra DKI Minta Perpisahan dan Study Tour Sekolah Tak Bebani Orang Tua,https://news.detik.com/berita/d-7342450/gerindra-dki-minta-perpisahan-dan-study-tour-sekolah-tak-bebani-orang-tua,"Jakarta - Dinas Pendidikan (Disdik) DKI Jakarta mengimbau seluruh satuan pendidikan tidak menggelar acara perpisahan maupun study tour di luar lingkungan sekolah. Gerindra DKI mendukung karena keselamatan perlu diperhatikan. ""Ya sebenarnya kan tidak semua study tour itu berdampak buruk, kita juga harus akui secara jujur terkadang study tour itu juga memberikan rasa kenangan indah bagi para siswa yang akan meninggalkan sekolah,"" ujar Wakil Ketua DPRD DKI Jakarta Fraksi Gerindra, Rani Mauliani, saat dihubungi, Rabu (15/5/2024). Rani mengatakan pelaksanaan perpisahan maupun study tour di luar lingkungan sekolah perlu diatur dengan baik. Rani tidak memungkiri bahwa acara yang dilakukan di luar sekolah akan memberi kenangan tersendiri bagi para siswa. ""Hanya saja mungkin diatur dengan sebaik-baiknya, dan tidak musti di luar kota juga betul sih. Hanya kan kadang luar kota menjadi salah satu pilihan destinasi ya, karena suasana yang ingin didapat selain kebersamaan juga ke tempat yang tidak seperti biasa membuat banyak cerita dan suasana bahagia,"" ujarnya Ia juga menyebut acara perpisahan maupun study tour tidak boleh memberatkan pihak orang tua. Hal ini perlu diatur agar dapat sesuai dengan kapasitas dan kemampuan orang tua siswa. ""Perihal tidak memberatkan orang tua itu juga betul, semua bisa diatur dengan baik dan sesuai dengan kapasitas kemampuan,"" kata Rani Rani mengatakan musibah kecelakaan yang terjadi perlu dijadikan pelajaran bagi seluruh pihak. Salah satunya yakni masalah kelayakan armada yang dipakai. ""Jujur kita semua pasti punya kenangan saat masa perpisahan sekolah dulu juga kan, apalagi kan kasus ini adalah musibah yang siapa pun pasti tidak mengharapkan terjadi, mungkin bisa diambil pelajaran bagi banyak pihak, terutama para pengusaha transportasi publik agar dapat menjaga armada kendaraannya selalu dalam kondisi yang mumpuni agar keselamatan para penumpang juga bisa dipertanggungjawabkan,"" ungkapnya. Diketahui, Disdik DKI Jakarta mengimbau seluruh satuan pendidikan tidak menggelar acara perpisahan maupun study tour di luar lingkungan sekolah. Imbauan ini disampaikan setelah ada kecelakaan maut rombongan SMK Lingga Kencana Depok di Subang, Jawa Barat. Pelaksana Tugas (Plt) Kepala Dinas Pendidikan DKI Jakarta, Purwosusilo, mengatakan perpisahan murid diimbau tak digelar satuan pendidikan di luar area sekolah. ""Jadi (saat kelulusan/perpisahan) tidak ke mana-mana, hanya di sekolah masing-masing menggunakan fasilitas yang ada. Kalau ada sekolah yang melakukan di luar itu, berarti dia perlu pembinaan saya,"" kata Purwo saat dikonfirmasi, Selasa (14/5). Dalam Surat Edaran Nomor e-0017/SE/2024 itu menyatakan satuan pendidikan wajib mengendalikan keadaan peserta didik dan lingkungan satuan pendidikan pada saat dan sesudah pengumuman kelulusan. Menurutnya, acara kelulusan di luar sekolah sering kali memberatkan orang tua peserta didik. Selain itu, risikonya cukup besar karena membutuhkan pengawasan yang lebih maksimal. Purwo tak menampik masih ada sekolah yang melanggar imbauan dan tetap menghelat acara perpisahan di luar sekolah. Oleh sebab itu, orang tua yang mengetahui dapat menyampaikan keberatan.  Simak juga Video 'Evaluasi Kemenhub Soal Nestapa Perpisahan SMK Lingga Kencana':  [Gambas:Video 20detik] ","Kamis, 16 Mei  2024 07:41 WIB"
7,detik,Fakta Terkini Bus Kecelakaan Maut di Subang Ternyata Dimodifikasi,https://news.detik.com/berita/d-7342256/fakta-terkini-bus-kecelakaan-maut-di-subang-ternyata-dimodifikasi,"Jakarta - Penyebab kecelakaan bus maut yang membawa rombongan SMK Lingga Kencana Depok masih diinvestigasi. KNKT sementara ini mengungkap bus yang kecelakaan di Subang itu telah dimodifikasi. Sejumlah korban selamat kecelakaan bus maut ini masih menjalani perawatan di rumah sakit. Ada 12 murid yang dirawat di RS Brimob Depok, tujuh di antaranya sudah dipulangkan hari ini. Sementara lima murid lainnya masih menjalani perawatan karena perlu menjalani operasi dan dilakukan observasi lebih lanjut. ""Yang kami observasi ada beberapa, dalam satu-dua hari ada yang bisa kami pulangkan, tapi mungkin ada satu atau dua pasien. Mungkin ada tahapan operasi berikutnya seperti yang dikatakan dr Albert,"" kata dokter spesialis ortopedi RS Brimob, dr Hanindya Prasojo SpOT, di RS Bhayangkara Brimob Depok, Rabu (15/5/2024). ""Ada beberapa kasus di mana ada suatu saraf yang hilang, ada suatu kulit yang hilang dan perlu pembersihan lagi untuk observasi apakah infeksinya berubah jadi kulit yang mati atau harus dibersihkan,"" tambahnya. Kepala Rumah Sakit Bhayangkara Brimob Depok AKBP Taufik Ismail mengatakan para korban mengalami trauma cukup berat. Dia menyebut proses penyembuhan membutuhkan waktu. ""Pemberiannya dilakukan secara bertahap, nggak bisa sekali selesai, itu tidak bisa. Secara bertahap biar memulihkan kembali kondisi mentalnya setelah mengalami trauma kejadian yang cukup berat sehingga diperlukan waktu,"" jelasnya. KNKT Ungkap Bus Dimodifikasi Komite Nasional Keselamatan Transportasi (KNKT) masih menginvestigasi penyebab kecelakaan bus maut yang membawa rombongan SMK Lingga Kencana Depok. KNKT mengungkap bus tersebut sudah dimodifikasi. ""Iya sesuai dengan faktual yang pernah kita sampaikan memang terjadi perubahan, tapi tidak sesuai dengan surat aslinya,"" kata Ketua KNKT Soerjanto Tjahjono. Soerjanto mengatakan bus yang mengalami kecelakaan tersebut dimodifikasi jadi high deck. Dia belum mengetahui ada tidaknya kaitan antara modifikasi bus dengan kecelakaan. KNKT masuh melakukan investigasi. ""Yang aslinya bukan high deck, tapi yang ditemukan kemarin high deck. Kami belum bisa menyampaikan itu karena kami sedang menganalisa. Apakah itu berkontribusi langsung, kami belum bisa mengatakan hal itu,"" jelasnya. Oli Keruh dan O-Ring Bocor Direktur Lalu Lintas Kepolisian Daerah Jawa Barat Kombes Wibowo mengungkap kondisi bus tersebut. Dia menyebut jarak antara kampas rem di bawah standar seharusnya serta terjadi kebocoran O-Ring di dalam ruang relief foam. ""Jadi, dapat kita simpulkan bahwa penyebab dari terjadinya laka lantas tersebut yaitu karena adanya kegagalan fungsi pengereman,"" kata dia. Sejauh ini, polisi telah memeriksa 13 saksi, meliputi sopir bus, kondektur atau kernet, penumpang bus, serta saksi yang ada di TKP dan ahli. Langkah lain yang dilakukan ialah memeriksa fisik kendaraan bus yang didukung Dishub Jabar dan Dishub Kabupaten Subang. ""Dari langkah-langkah yang telah dilakukan itu, kita mendapatkan hasil bahwa di TKP tidak ditemukan bekas pengereman, namun yang ada hanyalah bekas gesekan antara bus dengan aspal,"" kata Dirlantas. 
","Rabu, 15 Mei  2024 22:13 WIB"
8,detik,"Ketua KNKT Imbau Masyarakat Cek Kelayakan Bus, Begini Caranya",https://news.detik.com/berita/d-7341781/ketua-knkt-imbau-masyarakat-cek-kelayakan-bus-begini-caranya,"Jakarta - Ketua Komite Nasional Keselamatan Transportasi (KNKT) Soerjanto Tjahjono mengimbau masyarakat mengecek kelayakan bus buntut kecelakaan bus pariwisata rombongan SMK Lingga Kencana Depok di Subang, Jawa Barat. Dia mengatakan masyarakat bisa mengeceknya di aplikasi Mitra Darat. ""Jadi sekali lagi, sebelum menggunakan bus, tolong sekali lagi masyarakat mengecek busnya itu. Kalau terdaftar di Mitra Darat, berarti busnya berizin dan kalau dinyatakan laik, silakan digunakan,"" kata Soerjanto kepada wartawan, Rabu (15/5/2024). ""Nanti akan ketahuan busnya laik atau tidak laik, terdaftar atau tidak. Kalau tidak laik atau tidak terdaftar, ya jangan digunakan,"" sambungnya. Soerjanto mengakui cukup kesulitan mendeteksi kelayakan bus secara langsung atau kasatmata. Dia pun menganjurkan masyarakat yang tidak dapat menggunakan aplikasi meminta bantuan teman atau kerabat. ""Aplikasinya gampang. (Secara kasatmata) agak sulit memang. Tapi yang paling mudah ya itu dengan, kalau tidak punya HP, minta tolong sama yang punya HP. Untuk cek di Mitra Darat,"" ucapnya. Diketahui, bus pariwisata Trans Putera Fajar yang mengalami kecelakaan maut di Subang tidak memenuhi standar kelayakan. Bus tersebut pun tidak terdaftar dalam Mitra Darat. ""Nggak ada izinnya, kok,"" kata Soerjanto.","Rabu, 15 Mei  2024 17:28 WIB"
9,detik,KNKT Ungkap Bus Kecelakaan Maut di Subang Dimodifikasi Jadi High Deck,https://news.detik.com/berita/d-7341735/knkt-ungkap-bus-kecelakaan-maut-di-subang-dimodifikasi-jadi-high-deck,"Jakarta - Komite Nasional Keselamatan Transportasi (KNKT) menginvestigasi penyebab kecelakaan bus maut di Subang yang membawa rombongan SMK Lingga Kencana Depok. KNKT mengungkap bus tersebut sudah dimodifikasi. ""Iya sesuai dengan faktual yang pernah kita sampaikan, memang terjadi perubahan, tapi tidak sesuai dengan surat aslinya,"" kata Ketua KNKT Soerjanto Tjahjono kepada wartawan, Rabu (15/5/2024). Soerjanto mengungkap bus yang mengalami kecelakaan tersebut dimodifikasi menjadi high deck. Dia belum mengetahui ada tidaknya kaitan antara modifikasi bus dan kecelakaan. KNKT masih melakukan investigasi. ""Yang aslinya bukan high deck, tapi yang ditemukan kemarin high deck. Kami belum bisa menyampaikan itu karena kami sedang menganalisa. Apakah itu berkontribusi langsung, kami belum bisa mengatakan hal itu,"" jelasnya. Soerjanto juga menyampaikan bahwa bus ini tidak memiliki izin untuk digunakan di aplikasi Mitra Darat. Soerjanto mengimbau masyarakat untuk selalu mengecek kelayakan bus yang akan digunakan. ""Jadi sekali lagi, sebelum menggunakan bus, tolong sekali lagi masyarakat untuk mengecek busnya itu. Kalau terdaftar di Mitra Darat berarti busnya berizin dan kalau dinyatakan laik, silakan digunakan,"" kata Soerjanto.","Rabu, 15 Mei  2024 17:10 WIB"
10,detik,Polisi Buka Kemungkinan Ada Tersangka Lain di Kasus Kecelakaan Maut SMK Depok,https://news.detik.com/berita/d-7341661/polisi-buka-kemungkinan-ada-tersangka-lain-di-kasus-kecelakaan-maut-smk-depok,"Jakarta - Korlantas Polri membuka peluang menetapkan tersangka lain dalam kasus kecelakaan bus maut yang membawa rombongan SMK Lingga Kencana Depok di Subang, Jawa Barat. Peluang penetapan tersangka itu akan dilakukan setelah melihat fakta-fakta yang ditemukan. ""(Tersangka) bisa saja bertambah. Tergantung dari fakta-fakta hukum yang ada ya,"" kata Korlantas Polri Irjen Aan kepada wartawan di Kantor Korlantas Polri, Jakarta, Rabu (15/5/2024). Aan mengatakan pihaknya tidak menutup kemungkinan soal adanya tersangka dari pihak Perusahaan Otobus (PO) dalam kecelakaan tersebut. Pihak karoseri atau perusahaan pembuatan bodi hingga casis bus juga berpeluang untuk ditetapkan tersangka. ""Kita tidak mengarahkan tapi akan ada fakta hukum yang mengarah kepada para pengusaha, kita akan, penyidikan akan diarahkan ke sana,"" ungkapnya. ""Kemudian untuk perubahan bentuk bus tadi itu ada pasal 270 nanti akan juga kita terapkan di situ, karoseri, kemudian juga pengusaha kita terapkan pasal itu. Jadi (tersangka) bisa saja terus bertambah,"" tambahnya. Sebelumnya, Sopir bus Putera Fajar bernama Sadira ditetapkan sebagai tersangka atas kasus kecelakaan maut yang menewaskan 11 orang di Jalan Raya Ciater, Subang, Jawa Barat. Sadira terancam hukuman 12 tahun penjara. ""Berdasarkan keterangan saksi, baik pengemudi maupun penumpang lainnya, termasuk saksi ahli berikut atau surat dokumen hasil ramp check yang tadi sudah ada Pasal 1 84 KUHAP dan sudah kita gelar perkara, kita menetapkan bahwa tersangka dalam kasus kecelakaan ini adalah pengemudi bus Putera Fajar, atas nama Sadira,"" ujar Dirlantas Polda Jabar Kombes Wibowo saat melakukan konferensi pers di Mapolres Subang, dilansir detikJabar, Selasa (14/5). Berdasarkan serangkaian penyelidikan, terungkap bahwa bus itu gagal dalam sistem pengereman. Tidak terlihat jejak pengereman di sepanjang jalan hingga titik bus itu terguling. Kemudian, hasil pemeriksaan terhadap pengemudi ataupun saksi lainnya, polisi mendapat keterangan bahwa pengemudi atas nama Sadira asal Bekasi itu mengetahui bahwa kendaraan tersebut bermasalah fungsi rem. Tersangka dikenai Pasal 3 11 ayat 5 Undang-Undang Lalu Lintas Tahun 2009 dengan ancaman maksimal kurungan 12 tahun penjara serta denda Rp 24 juta. ""Namun kami masih terus melakukan pendalaman, pemeriksaan, dan tidak menutup kemungkinan akan adanya tersangka-tersangka lain,"" tuturnya.  Simak Video: Polisi Bicara Potensi Tersangka Baru di Kasus Kecelakaan Bus Wisata di Subang  [Gambas:Video 20detik] ","Rabu, 15 Mei  2024 16:44 WIB"
